name,relation,note
Metazeunerite,Zeunerite,The prefix meta indicates the dehydration product of zeunerite.
Meurigite-Na,Meurigite-K,For the mineral meurigite and its sodium content.
Mg-bearing Boothite,Boothite,A magnesian boothite
Mg-bearing Melanterite,Melanterite,A variety of Melanterite
Mg-bearing Xonotlite,Xonotlite,A Mg-bearing variety of xonotlite.
Mg-Fillowite,Fillowite,Mg-rich fillowite
Mg-rich Calcite,Calcite,A magnesium-rich variety of calcite.
Mg-rich Dolomite,Dolomite,A dolomite with Mg > Ca by a significant amount.
Mg-rich Erythrite,Erythrite,A variety of Erythrite
Mg-rich Siderite,Siderite,A magnesian variety of siderite
Mg-Titanomagnetite,Magnetite,Titanium- and magnesium-rich magnetite.
Mg(T) Mica,Mica,An Aluminium-poor Biotite group mica.
Mn-bearing Fluorapatite,Fluorapatite,"A high valence manganese-bearing variety of fluorapatite, generally containing Mn5+"
Mn-Tourmaline,Tourmaline,An Mn-bearing tourmaline
Moluranite,,For MOLybdenum and URANium in the composition.
Molybdenian Stolzite,Stolzite,A variety of Stolzite
Molybdite,,As an oxide of molybdenum.
Molybdofornacite,Fornacite,For its predominance of molybdenum and relation to fornacite.
Molybdoscheelite,Scheelite,A molybdenum-bearing variety of scheelite
Molybdosodalite,Sodalite,A variety of sodalite containing molybdenum oxide.
Monazite-(Ce),Monazite,For the member of the monazite group with dominant cerium.
Monazite-(La),Monazite,For the member of the monazite group with dominant lanthanum.
Monazite-(Nd),Monazite,For the member of the monazite group with dominant neodymium.
Monazite-(Sm),Monazite,For the member of the monazite group with dominant samarium.
Monipite,,An acronym composed of the chemical symbols of the three essential components.
Monohydrocalcite,Calcite,"For having the composition of calcite and the Greek for one, as with an additional H2O."
Mourite,,For MOlybdenum and URanium in the composition.
Nabalamprophyllite,Lamprophyllite,For the dominance of Na and Ba and its relation to lamprophyllite
Nabaphite,,"For sodium, NAtrium, BArium, and PHosphorus in the composition."
Nabesite,,"named for the chemical composition Na, Be, Si"
Nabiasite,,"For sodium, NAtrium, CAlcium, and PHosphorus in the composition."
Nacaphite,,"For sodium, NAtrium, CAlcium, and PHosphorus in the composition."
Nacareniobsite-(Ce),,"For sodium, NAtrium, CAlcium, Rare Earths, NIOBium, and Silicon in its chemical composition."
Nafertisite,,"Named for the elements, NAtrium, FERrus and FERric, and TIanium."
Nahcolite,,"From the composition, NaHCO-lite."
Nahpoite,,"For the principal chemical components, sodium, NAtrium, Hydrogen, Phosphorus, and Oxygen."
Nalipoite,,"For the principal chemical components in the composition, sodium NAtrium, LIthium, Phosphorus, and Oxygen."
Namansilite,,"For sodium, NAtrium; MANganese; and SILicon in the formula."
Nastrophite,,"For sodium, NAtrium, STROntium, and PHosphorus in the composition."
Natisite,,"For sodium, NAtrium, TItanium, and SIlicon in the composition."
Native Amalgam,,As a variety of silver containing mercury (amalgam)
Natrite,,"For sodium, natrium, the sole cation in the chemical formula of the mineral."
Natro-glauconite,Glauconite,The sodium-dominant equivalent of glauconite
Natroalunite,Alunite,In allusion to the dominance of sodium (NATRium in Latin) in the composition and its relationship to ALUNITE.
Natroalunite-2c,Alunite,"As the sodium, natrium, analog of alunite."
Natroaphthitalite,Aphthitalite,An apparent Na analogue of aphthitalite.
Natrobetpakdalite,Betpakdalite,The name reflects its sodium content and similarity to betpakdalite
Natrobistantite,,"For sodium, NATRium, BISmuth, and TANTalum in the composition [deviant from IMA pyrochlore nomenclature]."
Natroboltwoodite,Boltwoodite,For sodium in its composition and its relation to boltwoodite.
Natrochalcite,,"From the Latin for sodium, natrium, and the Greek for copper, chalkos, in the composition."
Natrodufrénite,Dufrénite,"For essential sodium, natrium, and its relation to dufre´nite."
Natrofairchildite,Fairchildite,"As the sodium, natrium, analog of fairchildite."
Natroglaucocerinite,Glaucocerinite,For its relationship to glaucocerinite.
Natrojarosite,Jarosite,"As the sodium, natrium, analog of jarosite."
Natrokomarovite,Komarovite,An apparent Na analogue of komarovite.
Natrolemoynite,Lemoynite,The name alludes to the Na dominance and polymorphic relationship to lemoynite.
Natrolite,,"From the Latin natron, for the sodium content."
Natromarkeyite,Markeyite,Chemically and structurally related to markeyite (close to being its Na analogue).
Natromontebrasite,Montebrasite,"For its content of sodium, natrium, and relation to montebrasite."
Natron,,"From nitrum, a name from antiquity."
Natronambulite,Nambulite,"For sodium, natrium, in its composition, and its relation to nambulite."
Natronbiotite,Biotite,A biotite with Na partially replacing K
Natroniobite,,"For sodium, NATRium, and NIOBium in the composition."
Natronkalisimonyit,Simonyit,A variety of Simonyit (Blödite) with high Na and K content
Natropalermoite,Palermoite,Reflects the presence of sodium (natrium) and the structural isomorphism to palermoite.
Natropharmacoalumite,Pharmacosiderite,As the Na (natro) and Al (alum) end-member in the pharmacosiderite supergroup.
Natropharmacosiderite,Pharmacosiderite,In allusion to sodium in the composition and its relation to pharmacosiderite.
Natrophilite,,"For its content of sodium, natrium"
Natrophosphate,,"For sodium, natrium, and phosphate in the composition."
Natrosilite,,"For sodium, NATRium, and SILicon in the composition."
Natrotantite,,"For sodium, NATRium, and TANTalum in the composition."
Natrotitanite,Titanite,"For a titanite structure with Na(Y,REE)-dominant in the Ca site."
Natrouranospinite,Uranospinite,For its dominant sodium content and relation to uranospinite.
Natrowalentaite,Walentaite,The sodium analogue of walentaite
Natroxalate,,"For sodium, natrium, in the composition, and as a naturally occurring oxalate."
Natrozippeite,Zippeite,For its content of sodium and relation to the other zippeite group species.
Neskevaaraite-Fe,,Fe-dominant composition of the D structural site.
Ni-Serpentine,Serpentine,A name for artificial Serpentine Group minerals with Ni replacing Mg
Nichromite,,Due to its Ni and Cr content
Nickel-iron,,Taken from the composition
Nickelalumite,,Due to its Ni and Al content
Nickelaustinite,Austinite,For the predominance of nickel in the composition and relation to austinite.
Nickelbischofite,Bischofite,"As the compositional nickel analog of bischofite, with which it is, however, not isostructural."
Nickelblödite,Blödite,"For its relation to blödite, with Ni >Mg."
Nickelboussingaultite,Boussingaultite,As the nickel-bearing analog of boussingaultite.
Nickelhexahydrite,Hexahydrite,As the nickel-dominant analog of hexahydrite.
Nickelian Loellingite,Löllingite,Ni-bearing variety of Loellingite
Nickelian Pyrite,Pyrite,A nickel-bearing variety of pyrite
Nickeliferous Ankerite,Ankerite,A nickel-bearing variety of ankerite.
Nickeliferous Serpentine,Serpentine,A nickel-bearing variety of serpentine.
Nickellotharmeyerite,Lotharmeyerite,For the predominance of nickel in the composition and relation to lotharmeyerite.
Nickeloan Adamite,Adamite,A nickel-bearing variety of adamite.
Nickeloan Calcite,Calcite,A nickel-bearing variety of Calcite
Nickeloan Clinochlore,Clinochlore,A nickel-bearing variety of clinochlore.
Nickeloan Copper,Copper,Natural nickel-copper alloys with structure of α-Cu.
Nickeloan Gold,Gold,Natural gold-nickel alloys with Ni contents up to 40 mass%.
Nickeloan Lizardite,Lizardite,An Ni-bearing lizardite with insufficient Ni to qualify as nepouite.
Nickeloan Magnesite,Magnesite,A nickel-rich variety of magnesite.
Nickeloan Magnetite,Magnetite,A nickel-rich variety of Magnetite
Nickeloan Psilomelane,Psilomelane,A nickel-bearing variety of psilomelane.
Nickeloan Pyrrhotite,Pyrrhotite,A nickel-bearing variety of pyrrhotite.
Nickeloan Rosasite,Rosasite,A nickel-bearing variety of Rosasite
Nickeloan Talmessite,Talmessite,A nickel-bearing variety of Talmessite
Nickeloan Tourmaline,Tourmaline,A Ni-bearing tourmaline
Nickelphosphide,,The name reflects its composition.
Nickelpicromerite,Picromerite,For a member of the picromerite group with essential nickel.
Nickelschneebergite,Schneebergite,"Named in allusion to its composition with nickel dominant over cobalt, and for its relationship with Schneebergite."
Nickelskutterudite,Skutterudite,For the predominance of nickel in the composition and relation to skutterudite.
Nickeltalmessite,Talmessite,For its relation the mineral talmessite and its nickel content.
Nickeltsumcorite,Tsumcorite,The Ni-dominant analog of tsumcorite.
Nickeltyrrellite,Tyrrellite,In allusion to being the Ni-dominant analogue of tyrrellite
Nickelzippeite,Zippeite,For its dominant content of nickel and relation to other zippeite group species.
Niobian Anatase,Anatase,A variety of Anatase
Niobian Rutile,Rutile,A variety of Rutile
Nioboaeschynite-(Ce),Nioboaeschynite Root,"For similarity to aeschynite but with NIOBium greater than titanium, with cerium as the dominant rare-earth element."
Nioboaeschynite-(Nd),Nioboaeschynite Root,"For similarity to aeschynite but with NIOBium greater than titanium, with Nd as the dominant rare-earth element."
Nioboaeschynite-(Y),Nioboaeschynite Root,For the dominant B-site cation (Nb) and principal rare earth element (Y) in a member of the aeschynite group.
Niobocarbide,,"Named in allusion to its composition, being comprised of NIOBium and carbon, as a CARBIDE."
Niobochevkinite,Chevkinite,As niobian variety of chevkinite
Nioboholtite,Holtite,For the composition and the relationship to holtite.
Niobokupletskite,Kupletskite,Named as the Nb analog of kupletskite.
Nioboloparite,Loparite,From composition and relation to Loparite.
Niobophyllite,,"From its Nb content and phyllos (<U+03C6><U+03CD><U+03BB><U+03BB><U+03BF><U+03BD>), Greek for leaf, in allusion to its foliated habit."
Niobozirconolite,Zirconolite,A Nb-bearing variety of zirconolite.
Niocalite,,For NIObium and CALcium in the composition.
Nisbite,,"For the composition, NIckel and SB, from the chemical symbol for antimony, stibium."
Nisnite,,"For its chemical composition, nickel (Ni) and tin (Sn)."
Nitratine,,For NITRogen in the composition.
Nitrobarite,,For NITRate and BARium in the composition.
Nitrocalcite,,For NITROgen and CALCium in the composition.
Nitroglauberite,,In allusion to the presumed composition
Nitromagnesite,,For NITROgen and MAGNESium in the composition.
Nöggerathite-(Ce),,Due to its Ce content
Nordite-(Ce),Nordite,La-dominant nordite
Nordite-(La),Nordite,Ce-dominant nordite
Nováčekite-I,Nováčekite,The Roman numerals were later added to indicate hydration/dehydration stages.
Nováčekite-II,Nováčekite,The Roman numerals were later added to indicate hydration/dehydration stages.
Obradovicite-KCu,Obradovicite,For the mineral Obradovicite and its potassium and copper content.
Obradovicite-NaCu,Obradovicite,For the mineral Obradovicite and its sodium and copper content.
Obradovicite-NaNa,Obradovicite,For the mineral Obradovicite and its potassium content.
Okanoganite-(Y),,For the yttrium content.
Oligoclase-Albite,Oligoclase,A variety of Oligoclase with Anorthite:Albite between 80:20 and 90:10.
Olivinoid,Olivine,"A variety of Olivine found in certain meteorites, apparently more easily soluble in acids, fused and generally softer than terrestrial Olivine."
Opalite,Opal,As a variety of opal
Organovaite-Mn,Organovaite,As a Mn member of organovaite group
Organovaite-Zn,Organovaite,As a Zn member of organovaite group
Orthocuproplatinum,,Due to the Cu and Pt in composition
Orthojoaquinite-(Ce),Orthojoaquinite Root,As a member of the joaquinite group with Ce as the dominant rare-earth element.
Orthojoaquinite-(La),Orthojoaquinite Root,As a member of the joaquinite group with La as the dominant rare-earth element.
Osarsite,,For the content of OSmium and ARSenic.
Osmiridium,Iridium,A variety of Iridium rich in Osmium.
Osumilite-(Mg),Osumilite,The Mg analogue of Osumilite.
Oxammite,,As an OXalate of AMMonia.
Oxo-magnesio-hastingsite,Hastingsite,As the oxygen- and magnesium- dominant analogue of hastingsite.
Oxo-mangani-leakeite,Leakeite,Signifies an amphibole in the compositional range of leakeite with dominant manganese in the C structural site and dominant oxygen in the W site.
Oxo-pargasite,Pargasite,As the oxygen- dominant analogue of pargasite.
Oxy-chromium-dravite,Dravite,For the mineral dravite and its oxygen and chromium contents.
Oxy-dravite,Dravite,"For its relationship to dravite, although it is NOT an analogue of dravite"
Oxy-foitite,Foitite,The FeAl2-O-analogue of foitite.
Oxy-rossmanite,Rossmanite,For relation to rossmanite
Oxy-schorl,Schorl,"Schorl with O>OH,F on the W site; not uncommon, but can be reliably identified only from detailed and quantitative chemical analyses."
Oxy-uvite,Uvite,"For oxygen, in the formula and the similarity to uvite."
Oxy-vanadium-dravite,Dravite,As an oxy-dravite with dominant vanadium in the Y and Z sites and magnesium the dominant divalent cation in Z.
Oxybiotite,Biotite,An oxidized biotite
Oxybismutomicrolite,Microlite,Being a member of microlite group with dominant O and Bi
Oxycalciobetafite,Calciobetafite (of Mazzi & Munno),Due to the high oxygen and relation to calciobetafite
Oxycalciomicrolite,Calciomicrolite,Due to the high oxygen and relation to calciomicrolite
Oxycalciopyrochlore,Pyrochlore Group,As the oxygen- and Calcium- dominant analogue of pyrochlore.
Oxycalcioroméite,Roméite,For a member of the roméite group with dominant oxygen (as OH) in the Y structural site and calcium in the A structural site.
Oxykinoshitalite,Kinoshitalite,The oxy-analog of kinoshitalite.
